_id,Proj ID,Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future,OC_Existing,OC_FY,OC_Future,Grant_Existing,Grant_FY,Grant_Future,GO_Expended,Capital_Year_0,CapitalYear_1,Capital_Year_25,OC_Expended,OC_Year_0,OC_Year_1,OCYear_25,Grant_Expended,Grant_Year_0,Grant_Year_1,GrantYear_25,External_Funds,Total_Project_Budget
75,CTD25062,Transportation Department,Lost Village Streets,"Design and construct improvements to roads, sidewalks and signals in the Lost Village section of Charlestown.",Transportation Department,In Construction,Charlestown,0,0,0,3066000,0,0,534000,0,0,0,0,0,0,0,500000,2000000,566000,0,0,534000,0,0,3600000
76,CTD24925,Transportation Department,Municipal Parking Lots,"Lighting, paving, re-striping, and other upgrades to municipal parking lots Citywide.",Transportation Department,To Be Scheduled,Citywide,1000000,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,1000000
77,CTD23218,Transportation Department,Nubian Square Improvements,Roadway improvements from Shawmut Avenue to Harrison Avenue including six key Nubian Square intersections.,Transportation Department,In Design,Roxbury,922183,0,0,14977817,0,0,0,0,2000000,922070,0,0,113,5832724,0,0,9145093,0,0,0,2000000,0,17900000
78,CTD25218,Transportation Department,Parking Meter Replacement,Purchase new parking meters and upgrade existing multi-space parking meters.,Transportation Department,Implementation Underway,Citywide,0,0,0,7000000,0,0,0,0,0,0,0,0,0,955790,4500000,1250000,294210,0,0,0,0,0,7000000
79,CTD25083,Transportation Department,Pavement Marking Improvements,"Maintain and upgrade pavement markings citywide, including crosswalks, lane markings, and bus lanes.",Transportation Department,Annual Program,Citywide,0,0,0,6225000,0,0,0,0,0,0,0,0,0,3981216,1399084,844700,0,0,0,0,0,0,6225000
80,CTD25344,Transportation Department,Recharge Boston: Public EV Charging,"Install a minimum of 300 EV charging ports, a combination of Level II and Level III EV chargers, across the City of Boston utilizing awarded federal funds.",Transportation Department,Study Underway,Citywide,3750000,0,0,0,0,0,0,0,15000000,0,0,0,3750000,0,0,0,0,0,0,0,15000000,0,18750000
81,CTD25246,Transportation Department,Reconnecting Communities,Conduct a feasibility study and initial design for a new park built on a deck over the I-90 highway and MBTA tracks between Shawmut Avenue and Washington Street.,Transportation Department,Study Underway,Chinatown,600000,0,0,0,0,0,0,0,0,0,0,200000,400000,0,0,0,0,0,0,0,0,1800000,2400000
82,CTD24814,Transportation Department,Safe and Reliable Streets,"Support anti-congestion efforts Citywide through data collection, safety and public realm improvements. Includes staff support to augment operational needs. Funded by state TNC revenue.",Transportation Department,Annual Program,Citywide,0,0,0,0,0,0,9477672,3500000,0,0,0,0,0,0,0,0,0,4625388,1957302,2500000,3894982,0,12977672
83,CTD25241,Transportation Department,SS4A 2023: Safer Intersections,"Design and construct safety improvements at 8 specific intersections across the city, in order to mitigate unsafe travel and improve pedestrian and active transportation safety.",Transportation Department,In Design,Multiple Neighborhoods,2500000,0,0,0,0,0,9000000,0,0,0,0,250000,2250000,0,0,0,0,0,0,900000,8100000,0,11500000
84,CTD25217,Transportation Department,Safety Surge,Deploy speed tables across the city to reduce speeding and promote roadway safety.,Transportation Department,In Construction,Citywide,5000000,0,0,2180000,0,0,5835655,0,0,0,0,0,5000000,843557,250000,1000000,86443,4149053,200000,1400000,86602,0,13015655
